C:\PLC_Test>PLC_WriteReplay.exe --preflight-only 192.168.250.110
=== PRE-FLIGHT SNAPSHOT ===

  Connecting to 192.168.250.110:2002...
Connecting to PLC at 192.168.250.110:2002...
Connected!
  Replaying upload frames (Z commands)...

Replaying 242 frames (reordered: CONN → commands → DISC)...
  # Frame                      Send    Recv  Rsp Status
-----------------------------------------------------------------
  0 CONN (192.168.250.110)       32B →    24B    ? - ✓
  1    J 0x34                    27B →   180B    J 0x06 ✓
  2    J 0x34                    27B →   180B    J 0x06 ✓
  3    J 0x34                    27B →   180B    J 0x06 ✓
  4    J 0x34                    27B →   180B    J 0x06 ✓
  5    E 0x4e                    40B →    28B    E 0x06 ✓
  6    J 0x34                    27B →   180B    J 0x06 ✓
  7    J 0x34                    27B →   180B    J 0x06 ✓
  8    R 0x6e                    36B →    36B    R 0x06 ✓
  9    J 0x34                    27B →   180B    J 0x06 ✓
 10    J 0x34                    27B →   180B    J 0x06 ✓
 11    J 0x34                    27B →   180B    J 0x06 ✓
 12    R 0x56                    36B →    48B    R 0x06 ✓
 13    J 0x34                    27B →   180B    J 0x06 ✓
 14    J 0x34                    27B →   180B    J 0x06 ✓
 15    R 0x6e                    36B →    36B    R 0x06 ✓
 16    Y 0x52                    28B →    30B    Y 0x06 ✓
 17    J 0x34                    27B →   180B    J 0x06 ✓
 18    W 0x4e                    38B →    28B    W 0x06 ✓
 19    R 0x6e                    36B →    36B    R 0x06 ✓
 20    R 0xc6                    36B →   172B    R 0x06 ✓
 21    R 0xac                    36B →    44B    R 0x06 ✓
 22    R 0xac                    36B →    44B    R 0x06 ✓
 23    R 0xac                    36B →   252B    R 0x06 ✓
 24    R 0xac                    36B →   156B    R 0x06 ✓
 25    Z 0x5a                    38B →  1052B    Z 0x06 ✓
 26    Z 0x6a                    38B →    52B    Z 0x06 ✓
 27    Z 0x6a                    38B →    52B    Z 0x06 ✓
 28    Z 0x5c                    38B →    36B    Z 0x06 ✓
 29    Z 0x5d                    38B →    60B    Z 0x06 ✓
 30    Z 0xcf                    38B →    92B    Z 0x06 ✓
