Remark,Title=CSV File
Remark,Date=2026-4-23-13:41:3.93
Remark,Version=Ver3.1
Remark,PLC Name=LSPLC
Remark,CPU Type=XGI-CPUUN
Remark,EIP GUID=e409e8f1-f05b-43de-b79a-1fe0b8b320d2
Remark,EIP OnlineWrite=0
Type,Scope,Variable,Address,DataType,Property,Comment
Tag,Flag\System,"_1OFF",%FX156,"BOOL",R,"1 스캔 OFF"
Tag,Flag\System,"_1ON",%FX155,"BOOL",R,"1 스캔 ON"
Tag,Flag\System,"_AB_SD_ER",%FX67,"BOOL",R,"비정상 운전 정지"
Tag,Flag\System,"_AC_F_CNT",%FW13,"UINT",R,"순시 정전 발생 횟수"
Tag,Flag\System,"_ALL_OFF",%FX179,"BOOL",R,"전출력 OFF"
Tag,Flag\System,"_ANC_ERR",%FW1026,"WORD",,"외부 기기의 중고장 정보"
Tag,Flag\System,"_ANC_WAR",%FW1027,"WORD",,"외부 기기의 경고장 정보"
Tag,Flag\System,"_ANNUM_ER",%FX38,"BOOL",R,"외부기기의 중고장 검출 에러"
Tag,Flag\System,"_ANNUM_WAR",%FX70,"BOOL",R,"외부 기기의 경고장 검출"
Tag,Flag\System,"_ARY_IDX_ERR",%FX28864,"BOOL",,"배열 인덱스 범위 초과 에러 플래그"
Tag,Flag\System,"_ARY_IDX_LER",%FX28896,"BOOL",,"배열 인덱스 범위 초과 래치 에러 플래그"
Tag,Flag\System,"_BASE_EMASK_INFO",%FD477,"DWORD",R,"베이스 고장 마스크 정보"
Tag,Flag\System,"_BASE_INFO[0]",%FW150,"WORD",R,"베이스 정보[베이스 0]"
Tag,Flag\System,"_BASE_INFO[1]",%FW151,"WORD",R,"베이스 정보[베이스 1]"
Tag,Flag\System,"_BASE_INFO[2]",%FW152,"WORD",R,"베이스 정보[베이스 2]"
Tag,Flag\System,"_BASE_INFO[3]",%FW153,"WORD",R,"베이스 정보[베이스 3]"
Tag,Flag\System,"_BASE_INFO[4]",%FW154,"WORD",R,"베이스 정보[베이스 4]"
Tag,Flag\System,"_BASE_INFO[5]",%FW155,"WORD",R,"베이스 정보[베이스 5]"
Tag,Flag\System,"_BASE_INFO[6]",%FW156,"WORD",R,"베이스 정보[베이스 6]"
Tag,Flag\System,"_BASE_INFO[7]",%FW157,"WORD",R,"베이스 정보[베이스 7]"
Tag,Flag\System,"_BASE_INFO_ER",%FX49,"BOOL",R,"베이스 정보 이상"
Tag,Flag\System,"_BASE_POWER_ER",%FX47,"BOOL",R,"베이스 전원 에러"
Tag,Flag\System,"_BASE_SKIP_INFO",%FD478,"DWORD",R,"베이스 스킵 정보"
Tag,Flag\System,"_BAT_ER",%FX69,"BOOL",R,"배터리 이상"
Tag,Flag\System,"_BPRM_ER",%FX40,"BOOL",R,"기본 파라미터 이상"
Tag,Flag\System,"_CHK_ANC_ERR",%FX16386,"BOOL",,"외부 기기 중고장 검출 요청"
Tag,Flag\System,"_CHK_ANC_WAR",%FX16387,"BOOL",,"외부 기기 경고장 검출 요청"
Tag,Flag\System,"_CMOD_KEY",%FX12,"BOOL",R,"키에 의한 운전모드 변경"
Tag,Flag\System,"_CMOD_LPADT",%FX13,"BOOL",R,"로컬 PADT에 의한 운전모드 변경"
Tag,Flag\System,"_CMOD_RLINK",%FX15,"BOOL",R,"리모트 통신 모듈에 의한 운전 모드 변경"
Tag,Flag\System,"_CMOD_RPADT",%FX14,"BOOL",R,"리모트 PADT에 의한 운전모드 변경"
Tag,Flag\System,"_CNF_ER",%FD1,"DWORD",R,"시스템의 에러(중고장)"
Tag,Flag\System,"_CNF_WAR",%FD2,"DWORD",R,"시스템의 경고(경고장)"
Tag,Flag\System,"_CODE_ER",%FX45,"BOOL",R,"프로그램 코드 에러"
Tag,Flag\System,"_CONSTANT_ER",%FX92,"BOOL",R,"고정주기 오류"
Tag,Flag\System,"_CP_ER_PMT",%FX15235,"BOOL",R,"통신 모듈 에러시 운전 속행 설정"
Tag,Flag\System,"_CPPRM_ER",%FX43,"BOOL",R,"통신 모듈 파라미터 이상"
Tag,Flag\System,"_CPU_TYPE",%FW44,"WORD",R,"CPU 타입 정보"
Tag,Flag\System,"_CPU_VER",%FW45,"WORD",R,"CPU 버전 번호"
Tag,Flag\System,"_DEBUG",%FX3,"BOOL",R,"DEBUG"
Tag,Flag\System,"_EIP_TAG_WAR",%FX95,"BOOL",R,"EtherNet/IP TAG 정보 이상"
Tag,Flag\System,"_EMASK_ON",%FX19,"BOOL",R,"고장 마스크 실행 중"
Tag,Flag\System,"_ERR",%FX176,"BOOL",,"연산 에러 플래그"
Tag,Flag\System,"_ERROR",%FX2,"BOOL",R,"ERROR"
Tag,Flag\System,"_ESTOP_ON",%FX22,"BOOL",R,"ESTOP 펑션에 의한 STOP"
Tag,Flag\System,"_FALS_NUM",%FW14,"UINT",R,"FALS 번호"
Tag,Flag\System,"_FORCE_IN",%FX16,"BOOL",R,"강제 입력"
Tag,Flag\System,"_FORCE_OUT",%FX17,"BOOL",R,"강제 출력"
Tag,Flag\System,"_FUSE_ER",%FX35,"BOOL",R,"퓨즈 단선 에러"
Tag,Flag\System,"_FUSE_ER_N",%FW92,"WORD",R,"퓨즈 단선 슬롯 넘버"
Tag,Flag\System,"_FUSE_ER_PMT",%FX15232,"BOOL",R,"퓨즈 에러시 운전 속행 설정"
Tag,Flag\System,"_FUSE_ERR[0]",%FW112,"WORD",R,"퓨즈 단선 에러[베이스 0]"
Tag,Flag\System,"_FUSE_ERR[1]",%FW113,"WORD",R,"퓨즈 단선 에러[베이스 1]"
Tag,Flag\System,"_FUSE_ERR[2]",%FW114,"WORD",R,"퓨즈 단선 에러[베이스 2]"
Tag,Flag\System,"_FUSE_ERR[3]",%FW115,"WORD",R,"퓨즈 단선 에러[베이스 3]"
Tag,Flag\System,"_FUSE_ERR[4]",%FW116,"WORD",R,"퓨즈 단선 에러[베이스 4]"
Tag,Flag\System,"_FUSE_ERR[5]",%FW117,"WORD",R,"퓨즈 단선 에러[베이스 5]"
Tag,Flag\System,"_FUSE_ERR[6]",%FW118,"WORD",R,"퓨즈 단선 에러[베이스 6]"
Tag,Flag\System,"_FUSE_ERR[7]",%FW119,"WORD",R,"퓨즈 단선 에러[베이스 7]"
Tag,Flag\System,"_HS_WAR",%FX72,"BOOL",R,"고속링크 파라미터 이상 - 대표 플래그"
Tag,Flag\System,"_HS_WAR_W",%FW58,"WORD",R,"고속링크 파라미터 이상 - 전체 정보"
Tag,Flag\System,"_HS_WARN[0]",%FX928,"BOOL",R,"고속링크 파라미터 이상 - 상세 플래그[1]"
Tag,Flag\System,"_HS_WARN[1]",%FX929,"BOOL",R,"고속링크 파라미터 이상 - 상세 플래그[2]"
Tag,Flag\System,"_HS_WARN[2]",%FX930,"BOOL",R,"고속링크 파라미터 이상 - 상세 플래그[3]"
Tag,Flag\System,"_HS_WARN[3]",%FX931,"BOOL",R,"고속링크 파라미터 이상 - 상세 플래그[4]"
Tag,Flag\System,"_HS_WARN[4]",%FX932,"BOOL",R,"고속링크 파라미터 이상 - 상세 플래그[5]"
Tag,Flag\System,"_HS_WARN[5]",%FX933,"BOOL",R,"고속링크 파라미터 이상 - 상세 플래그[6]"
Tag,Flag\System,"_HS_WARN[6]",%FX934,"BOOL",R,"고속링크 파라미터 이상 - 상세 플래그[7]"
Tag,Flag\System,"_HS_WARN[7]",%FX935,"BOOL",R,"고속링크 파라미터 이상 - 상세 플래그[8]"
Tag,Flag\System,"_HS_WARN[8]",%FX936,"BOOL",R,"고속링크 파라미터 이상 - 상세 플래그[9]"
Tag,Flag\System,"_HS_WARN[9]",%FX937,"BOOL",R,"고속링크 파라미터 이상 - 상세 플래그[10]"
Tag,Flag\System,"_HS_WARN[10]",%FX938,"BOOL",R,"고속링크 파라미터 이상 - 상세 플래그[11]"
Tag,Flag\System,"_HS_WARN[11]",%FX939,"BOOL",R,"고속링크 파라미터 이상 - 상세 플래그[12]"
Tag,Flag\System,"_INIT_DONE",%FX16400,"BOOL",,"초기화 태스크 수행 완료"
Tag,Flag\System,"_INIT_RUN",%FX24,"BOOL",R,"초기화 태스크 수행 중"
Tag,Flag\System,"_IO_DEER",%FX34,"BOOL",R,"모듈 착탈 에러"
Tag,Flag\System,"_IO_DEER_N",%FW91,"WORD",R,"모듈 착탈 슬롯 넘버"
Tag,Flag\System,"_IO_DEERR[0]",%FW104,"WORD",R,"모듈 착탈 에러[베이스 0]"
Tag,Flag\System,"_IO_DEERR[1]",%FW105,"WORD",R,"모듈 착탈 에러[베이스 1]"
Tag,Flag\System,"_IO_DEERR[2]",%FW106,"WORD",R,"모듈 착탈 에러[베이스 2]"
Tag,Flag\System,"_IO_DEERR[3]",%FW107,"WORD",R,"모듈 착탈 에러[베이스 3]"
Tag,Flag\System,"_IO_DEERR[4]",%FW108,"WORD",R,"모듈 착탈 에러[베이스 4]"
Tag,Flag\System,"_IO_DEERR[5]",%FW109,"WORD",R,"모듈 착탈 에러[베이스 5]"
Tag,Flag\System,"_IO_DEERR[6]",%FW110,"WORD",R,"모듈 착탈 에러[베이스 6]"
Tag,Flag\System,"_IO_DEERR[7]",%FW111,"WORD",R,"모듈 착탈 에러[베이스 7]"
Tag,Flag\System,"_IO_ER_PMT",%FX15233,"BOOL",R,"IO 모듈 에러시 운전 속행 설정"
Tag,Flag\System,"_IO_TYER",%FX33,"BOOL",R,"모듈 타입 불일치 에러"
Tag,Flag\System,"_IO_TYER_N",%FW90,"WORD",R,"모듈 타입 불일치 슬롯 넘버"
Tag,Flag\System,"_IO_TYERR[0]",%FW96,"WORD",R,"모듈 타입 불일치 에러[베이스 0]"
Tag,Flag\System,"_IO_TYERR[1]",%FW97,"WORD",R,"모듈 타입 불일치 에러[베이스 1]"
Tag,Flag\System,"_IO_TYERR[2]",%FW98,"WORD",R,"모듈 타입 불일치 에러[베이스 2]"
Tag,Flag\System,"_IO_TYERR[3]",%FW99,"WORD",R,"모듈 타입 불일치 에러[베이스 3]"
Tag,Flag\System,"_IO_TYERR[4]",%FW100,"WORD",R,"모듈 타입 불일치 에러[베이스 4]"
Tag,Flag\System,"_IO_TYERR[5]",%FW101,"WORD",R,"모듈 타입 불일치 에러[베이스 5]"
Tag,Flag\System,"_IO_TYERR[6]",%FW102,"WORD",R,"모듈 타입 불일치 에러[베이스 6]"
